TransactionDate,Representative,BioGuideID,ReportDate,Ticker,Transaction,Range,House,Amount,Party,last_modified
2024-01-02,THOMAS R. CARPER,C000174,2024-02-02,S,SALE (FULL),8000.5,SENATE,1001.0,D,2024-02-02
2024-01-02,THOMAS R. CARPER,C000174,2024-02-02,DELL,PURCHASE,8000.5,SENATE,1001.0,D,2024-02-02
2024-01-04,GREG LANDSMAN,L000601,2024-08-14,URI,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-08-15
2024-01-04,GREG LANDSMAN,L000601,2024-08-14,MSFT,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-08-15
2024-01-04,JOSH GOTTHEIMER,G000583,2024-02-15,SPXC,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-16
2024-01-05,DEBBIE WASSERMAN SCHULTZ,W000797,2024-01-31,MAG,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-01
2024-01-08,DEBBIE WASSERMAN SCHULTZ,W000797,2024-01-31,MAG,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-01
2024-01-09,RICK LARSEN,L000560,2024-01-19,HSY,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-01-22
2024-01-09,RICK LARSEN,L000560,2024-01-19,BMY,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-01-22
2024-01-09,JOSH GOTTHEIMER,G000583,2024-02-15,LOPE,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-16
2024-01-09,RICK LARSEN,L000560,2024-01-19,ZTS,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-01-22
2024-01-09,RICK LARSEN,L000560,2024-01-19,CL,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-01-22
2024-01-11,JOSH GOTTHEIMER,G000583,2024-02-15,NCLTY,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-16
2024-01-11,JOSH GOTTHEIMER,G000583,2024-02-15,HELE,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-16
2024-01-11,JOSH GOTTHEIMER,G000583,2024-02-15,PYCR,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-16
2024-01-11,JOSH GOTTHEIMER,G000583,2024-02-15,XNGSY,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-16
2024-01-11,JOSH GOTTHEIMER,G000583,2024-02-15,PTEN,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-16
2024-01-11,JOSH GOTTHEIMER,G000583,2024-02-15,ALNY,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-16
2024-01-11,JOSH GOTTHEIMER,G000583,2024-02-15,ALGM,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-16
2024-01-11,JOSH GOTTHEIMER,G000583,2024-02-15,OCFC,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-16
2024-01-11,JOSH GOTTHEIMER,G000583,2024-02-15,HSHCY,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-16
2024-01-11,JOSH GOTTHEIMER,G000583,2024-02-15,SHLS,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-16
2024-01-11,JOSH GOTTHEIMER,G000583,2024-02-15,SSDOY,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-16
2024-01-11,JOSH GOTTHEIMER,G000583,2024-02-15,ON,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-16
2024-01-11,JOSH GOTTHEIMER,G000583,2024-02-15,GTLS,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-16
2024-01-11,JOSH GOTTHEIMER,G000583,2024-02-15,PNGAY,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-16
2024-01-11,JOSH GOTTHEIMER,G000583,2024-02-15,BAP,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-16
2024-01-12,JOSH GOTTHEIMER,G000583,2024-02-15,SCHW,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-16
2024-01-17,THOMAS R. CARPER,C000174,2024-02-02,ABT,SALE (PARTIAL),8000.5,SENATE,1001.0,D,2024-02-02
2024-01-17,THOMAS R. CARPER,C000174,2024-02-02,GBIL,PURCHASE,8000.5,SENATE,1001.0,D,2024-02-02
2024-01-17,THOMAS R. CARPER,C000174,2024-02-02,AES,PURCHASE,8000.5,SENATE,1001.0,D,2024-02-02
2024-01-17,THOMAS R. CARPER,C000174,2024-02-02,MET,SALE (PARTIAL),8000.5,SENATE,1001.0,D,2024-02-02
2024-01-17,THOMAS R. CARPER,C000174,2024-02-02,VLO,PURCHASE,8000.5,SENATE,1001.0,D,2024-02-02
2024-01-17,THOMAS R. CARPER,C000174,2024-02-02,TTE,SALE (PARTIAL),8000.5,SENATE,1001.0,D,2024-02-02
2024-01-17,THOMAS R. CARPER,C000174,2024-02-02,SBUX,PURCHASE,8000.5,SENATE,1001.0,D,2024-02-02
2024-01-17,JONATHAN JACKSON,J000309,2024-02-15,REGN,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-16
2024-01-17,THOMAS R. CARPER,C000174,2024-02-02,ETRN,PURCHASE,8000.5,SENATE,1001.0,D,2024-02-02
2024-01-17,THOMAS R. CARPER,C000174,2024-02-02,CME,PURCHASE,8000.5,SENATE,1001.0,D,2024-02-02
2024-01-18,JOSH GOTTHEIMER,G000583,2024-02-15,TSM,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-16
2024-01-18,JOSH GOTTHEIMER,G000583,2024-02-15,MSFT,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-16
2024-01-18,JOSH GOTTHEIMER,G000583,2024-02-15,APD,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-16
2024-01-18,JOSH GOTTHEIMER,G000583,2024-02-15,AAPL,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-16
2024-01-23,KATHY MANNING,M001135,2024-02-06,LMT,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-07
2024-01-23,KATHY MANNING,M001135,2024-02-06,INTU,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-07
2024-01-23,KATHY MANNING,M001135,2024-02-06,MDT,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-07
2024-01-23,KATHY MANNING,M001135,2024-02-06,GOOG,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-07
2024-01-23,KATHY MANNING,M001135,2024-02-06,NKE,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-07
2024-01-23,KATHY MANNING,M001135,2024-02-06,MSFT,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-07
2024-01-23,KATHY MANNING,M001135,2024-02-06,SBUX,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-07
2024-01-23,KATHY MANNING,M001135,2024-02-06,ACN,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-07
2024-01-23,KATHY MANNING,M001135,2024-02-06,GIS,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-07
2024-01-23,KATHY MANNING,M001135,2024-02-06,COST,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-07
2024-01-23,KATHY MANNING,M001135,2024-02-06,MRK,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-07
2024-01-23,KATHY MANNING,M001135,2024-02-06,TJX,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-07
2024-01-23,KATHY MANNING,M001135,2024-02-06,V,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-07
2024-01-23,KATHY MANNING,M001135,2024-02-06,LRCX,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-07
2024-01-23,KATHY MANNING,M001135,2024-02-06,MU,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-07
2024-01-23,KATHY MANNING,M001135,2024-02-06,AAPL,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-07
2024-01-23,KATHY MANNING,M001135,2024-02-06,ABT,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-07
2024-01-23,KATHY MANNING,M001135,2024-02-06,MA,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-07
2024-01-23,KATHY MANNING,M001135,2024-02-06,CAT,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-07
2024-01-23,KATHY MANNING,M001135,2024-02-06,CFG,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-07
2024-01-23,KATHY MANNING,M001135,2024-02-06,PKG,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-07
2024-01-23,KATHY MANNING,M001135,2024-02-06,JPM,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-07
2024-01-23,KATHY MANNING,M001135,2024-02-06,AON,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-07
2024-01-23,KATHY MANNING,M001135,2024-02-06,GOOGL,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-07
2024-01-23,KATHY MANNING,M001135,2024-02-06,WMT,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-07
2024-01-23,KATHY MANNING,M001135,2024-02-06,CB,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-07
2024-01-23,KATHY MANNING,M001135,2024-02-06,JNJ,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-07
2024-01-23,KATHY MANNING,M001135,2024-02-06,CRM,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-07
2024-01-23,KATHY MANNING,M001135,2024-02-06,MSCI,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-07
2024-01-23,KATHY MANNING,M001135,2024-02-06,QCOM,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-07
2024-01-23,KATHY MANNING,M001135,2024-02-06,SYY,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-07
2024-01-23,KATHY MANNING,M001135,2024-02-06,PG,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-07
2024-01-23,KATHY MANNING,M001135,2024-02-06,ABBV,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-07
2024-01-23,KATHY MANNING,M001135,2024-02-06,AMGN,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-07
2024-01-23,KATHY MANNING,M001135,2024-02-06,CME,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-07
2024-01-24,JOSH GOTTHEIMER,G000583,2024-02-15,CHRD,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-16
2024-01-24,JOSH GOTTHEIMER,G000583,2024-02-15,MEDP,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-16
2024-01-24,WILLIAM R. KEATING,K000375,2024-02-05,PANW,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-06
2024-01-24,JOSH GOTTHEIMER,G000583,2024-02-15,ABG,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-16
2024-01-24,JOSH GOTTHEIMER,G000583,2024-02-15,LOW,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-16
2024-01-24,JOSH GOTTHEIMER,G000583,2024-02-15,AGIO,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-16
2024-01-24,JOSH GOTTHEIMER,G000583,2024-02-15,AMD,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-16
2024-01-24,JOSH GOTTHEIMER,G000583,2024-02-15,TPH,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-16
2024-01-24,JOSH GOTTHEIMER,G000583,2024-02-15,LAD,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-16
2024-01-25,JOSH GOTTHEIMER,G000583,2024-02-15,ON,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-16
2024-01-25,SHRI THANEDAR,T000488,2024-02-23,GOOG,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-26
2024-01-25,SHRI THANEDAR,T000488,2024-02-23,AMZN,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-26
2024-01-25,SHRI THANEDAR,T000488,2024-02-23,BRK.B,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-26
2024-01-25,JOSH GOTTHEIMER,G000583,2024-02-15,TSLA,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-16
2024-01-25,JOSH GOTTHEIMER,G000583,2024-02-15,NOW,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-16
2024-01-25,SHRI THANEDAR,T000488,2024-02-23,GOOGL,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-26
2024-01-25,JOSH GOTTHEIMER,G000583,2024-02-15,APH,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-16
2024-01-25,JOSH GOTTHEIMER,G000583,2024-02-15,LRCX,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-16
2024-01-25,SHRI THANEDAR,T000488,2024-02-23,MSFT,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-26
2024-01-29,JOSH GOTTHEIMER,G000583,2024-02-15,ISRG,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-16
2024-01-29,JOSH GOTTHEIMER,G000583,2024-02-15,ALNY,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-02-16
2024-02-01,JOSH GOTTHEIMER,G000583,2024-03-07,SCHW,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-03-08
2024-02-01,JARED MOSKOWITZ,M001217,2024-08-06,NKE,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-08-07
2024-02-01,JARED MOSKOWITZ,M001217,2024-08-06,FDS,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-08-07
2024-02-01,JARED MOSKOWITZ,M001217,2024-08-21,SNA,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-08-22
2024-02-01,JOSH GOTTHEIMER,G000583,2024-03-07,FSLR,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-03-08
2024-02-01,JARED MOSKOWITZ,M001217,2024-08-21,NKE,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-08-22
2024-02-01,JARED MOSKOWITZ,M001217,2024-08-06,ELV,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-08-07
2024-02-01,JARED MOSKOWITZ,M001217,2024-08-06,KMB,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-08-07
2024-02-01,JARED MOSKOWITZ,M001217,2024-08-21,APD,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-08-22
2024-02-01,JOSH GOTTHEIMER,G000583,2024-03-07,DE,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-03-08
2024-02-01,JARED MOSKOWITZ,M001217,2024-08-21,MDLZ,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-08-22
2024-02-01,JOSH GOTTHEIMER,G000583,2024-03-07,MSCI,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-03-08
2024-02-01,JOSH GOTTHEIMER,G000583,2024-03-07,EXAS,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-03-08
2024-02-01,JARED MOSKOWITZ,M001217,2024-08-21,KMB,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-08-22
2024-02-01,JOSH GOTTHEIMER,G000583,2024-03-07,MRNA,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-03-08
2024-02-01,EARL BLUMENAUER,B000574,2024-03-02,GOOGL,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-03-05
2024-02-01,JARED MOSKOWITZ,M001217,2024-08-21,FDS,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-08-22
2024-02-01,JOSH GOTTHEIMER,G000583,2024-03-07,LNG,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-03-08
2024-02-01,JARED MOSKOWITZ,M001217,2024-08-21,ELV,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-08-22
2024-02-01,JARED MOSKOWITZ,M001217,2024-08-06,SNA,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-08-07
2024-02-01,JARED MOSKOWITZ,M001217,2024-08-06,APD,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-08-07
2024-02-01,JOSH GOTTHEIMER,G000583,2024-03-07,TTD,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-03-08
2024-02-01,JOSH GOTTHEIMER,G000583,2024-03-07,MS,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-03-08
2024-02-08,JOSH GOTTHEIMER,G000583,2024-03-07,META,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-03-08
2024-02-08,JOSH GOTTHEIMER,G000583,2024-03-07,MSFT,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-03-08
2024-02-08,JOSH GOTTHEIMER,G000583,2024-03-07,MDB,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-03-08
2024-02-08,JOSH GOTTHEIMER,G000583,2024-03-07,REGN,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-03-08
2024-02-08,JOSH GOTTHEIMER,G000583,2024-03-07,BKNG,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-03-08
2024-02-08,JOSH GOTTHEIMER,G000583,2024-03-07,LLY,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-03-08
2024-02-08,JOSH GOTTHEIMER,G000583,2024-03-07,NFLX,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-03-08
2024-02-08,JOSH GOTTHEIMER,G000583,2024-03-07,NVDA,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-03-08
2024-02-08,JOSH GOTTHEIMER,G000583,2024-03-07,KKR,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-03-08
2024-02-09,JOSH GOTTHEIMER,G000583,2024-03-07,TSM,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-03-08
2024-02-09,JOSH GOTTHEIMER,G000583,2024-03-07,BKNG,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-03-08
2024-02-12,EARL BLUMENAUER,B000574,2024-03-02,PHG,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-03-05
2024-02-12,EARL BLUMENAUER,B000574,2024-03-02,QCOM,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-03-05
2024-02-12,EARL BLUMENAUER,B000574,2024-03-02,UL,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-03-05
2024-02-12,EARL BLUMENAUER,B000574,2024-03-02,PFE,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-03-05
2024-02-12,JOSH GOTTHEIMER,G000583,2024-03-07,CTSH,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-03-08
2024-02-13,JOSH GOTTHEIMER,G000583,2024-03-07,TEX,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-03-08
2024-02-13,JARED MOSKOWITZ,M001217,2024-08-21,SO,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-08-22
2024-02-13,JARED MOSKOWITZ,M001217,2024-08-21,NEE,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-08-22
2024-02-13,JARED MOSKOWITZ,M001217,2024-08-21,RPM,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-08-22
2024-02-13,JARED MOSKOWITZ,M001217,2024-08-21,UNH,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-08-22
2024-02-13,JOSH GOTTHEIMER,G000583,2024-03-07,DBSDY,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-03-08
2024-02-13,JARED MOSKOWITZ,M001217,2024-08-21,LMT,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-08-22
2024-02-13,JARED MOSKOWITZ,M001217,2024-08-21,GOOG,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-08-22
2024-02-13,JARED MOSKOWITZ,M001217,2024-08-21,TMUS,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-08-22
2024-02-13,JARED MOSKOWITZ,M001217,2024-08-21,SPGI,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-08-22
2024-02-13,JARED MOSKOWITZ,M001217,2024-08-21,AAPL,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-08-22
2024-02-13,JOSH GOTTHEIMER,G000583,2024-03-07,CHRD,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-03-08
2024-02-13,JARED MOSKOWITZ,M001217,2024-08-21,ELV,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-08-22
2024-02-15,LLOYD DOGGETT,D000399,2024-03-05,PG,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-03-06
2024-02-15,EARL BLUMENAUER,B000574,2024-03-12,NWN,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-03-13
2024-02-16,THOMAS R. CARPER,C000174,2024-03-04,TGT,PURCHASE,8000.5,SENATE,1001.0,D,2024-03-04
2024-02-16,THOMAS R. CARPER,C000174,2024-03-04,EQNR,SALE (FULL),8000.5,SENATE,1001.0,D,2024-03-04
2024-02-21,JOSH GOTTHEIMER,G000583,2024-03-07,PANW,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-03-08
2024-02-22,JOSH GOTTHEIMER,G000583,2024-03-07,AMD,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-03-08
2024-02-26,JOSH GOTTHEIMER,G000583,2024-03-07,LRLCY,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-03-08
2024-02-28,WILLIAM R. KEATING,K000375,2024-03-12,URI,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-03-13
2024-02-28,WILLIAM R. KEATING,K000375,2024-03-12,BA,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-03-13
2024-02-28,WILLIAM R. KEATING,K000375,2024-03-12,TDG,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-03-13
2024-02-29,JOSH GOTTHEIMER,G000583,2024-03-07,FCX,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-03-08
2024-03-01,KATHERINE M. CLARK,C001101,2024-04-04,NYCB,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-04-05
2024-03-01,JOSH GOTTHEIMER,G000583,2024-04-07,HCA,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-04-08
2024-03-05,LLOYD DOGGETT,D000399,2024-04-09,JNJ,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-04-10
2024-03-07,JOSH GOTTHEIMER,G000583,2024-04-07,CBZ,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-04-08
2024-03-07,JOSH GOTTHEIMER,G000583,2024-04-07,DHI,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-04-08
2024-03-07,THOMAS R. CARPER,C000174,2024-03-29,AAPL,SALE (PARTIAL),8000.5,SENATE,1001.0,D,2024-03-29
2024-03-07,THOMAS R. CARPER,C000174,2024-03-29,NVDA,PURCHASE,8000.5,SENATE,1001.0,D,2024-03-29
2024-03-07,JOSH GOTTHEIMER,G000583,2024-04-07,PWP,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-04-08
2024-03-11,THOMAS R. CARPER,C000174,2024-03-29,ETRN,SALE (FULL),8000.5,SENATE,1001.0,D,2024-03-29
2024-03-11,LLOYD DOGGETT,D000399,2024-04-09,IBM,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-04-10
2024-03-12,JOSH GOTTHEIMER,G000583,2024-04-07,BHP,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-04-08
2024-03-12,JOSH GOTTHEIMER,G000583,2024-04-07,TSM,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-04-08
2024-03-12,LLOYD DOGGETT,D000399,2024-04-09,PPG,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-04-10
2024-03-12,JOSH GOTTHEIMER,G000583,2024-04-07,MELI,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-04-08
2024-03-13,JOSH GOTTHEIMER,G000583,2024-04-07,DASTY,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2024-04-08
2024-03-13,JOSH GOTTHEIMER,G000583,2024-04-07,MAR,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-04-08
2024-03-13,THOMAS R. CARPER,C000174,2024-03-29,SQM,PURCHASE,8000.5,SENATE,1001.0,D,2024-03-29
2024-03-13,THOMAS R. CARPER,C000174,2024-03-29,CEF,SALE (PARTIAL),8000.5,SENATE,1001.0,D,2024-03-29
2024-03-13,JOSH GOTTHEIMER,G000583,2024-04-07,SSDOY,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-04-08
2024-03-13,JOSH GOTTHEIMER,G000583,2024-04-07,TDG,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-04-08
2024-03-13,JOSH GOTTHEIMER,G000583,2024-04-07,ADBE,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-04-08
2024-03-13,JOSH GOTTHEIMER,G000583,2024-04-07,SNPS,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-04-08
2024-03-13,JOSH GOTTHEIMER,G000583,2024-04-07,CRM,SALE,8000.5,REPRESENTATIVES,1001.0,D,2024-04-08
